Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,retorno diario,retorno acumulado,banda_medio,banda_superior,banda_inferior,Conversion,Base,SpanA,SpanB,Lagging
2017-02-07,12.64597917220962,12.900642868950124,12.63900192055958,12.799474716186523,2061810,0.0,0,,,,,,,,,,12.90761947631836
2017-02-08,12.663425148500892,12.865761510151716,12.558769006270316,12.621562957763672,2724108,0.0,0,-0.013899926549162167,0.9861000734508378,,,,,,,,13.15880012512207
2017-02-09,12.680866743777583,12.747149982886397,12.628539341653475,12.726218223571776,2161227,0.0,0,0.008291783367742722,0.9942766016388074,,,,,,,,13.364623069763184
2017-02-10,12.7157518967241,12.782033799258548,12.572721547526196,12.59714126586914,1506191,0.0,0,-0.010142601316041833,0.984192050470516,,,,,,,,13.41346263885498
2017-02-13,12.60411878128332,12.782034065889617,12.572721809791044,12.694820404052734,1114079,0.0,0,0.007754071826458597,0.991823546320894,,,,,,,,13.354155540466309
2017-02-14,12.694822909736514,12.79599109682168,12.572724291375197,12.628540992736816,1163307,0.0,0,-0.0052209806209435605,0.9866452548061571,,,,,,,,13.52509593963623
2017-02-15,12.645980702555033,12.712262605089482,12.565744295031804,12.59714126586914,1726941,0.0,0,-0.0024864097036810806,0.9841920504705162,,,,,,,,13.751851081848145
2017-02-16,12.642493526556333,12.680866421495452,12.551790569273146,12.604119300842283,1213182,0.0,0,0.0005539379789325505,0.9847372318258353,,,,,,,,13.832088470458984
2017-02-17,12.663424299818818,12.68435605917214,12.49248625614571,12.590165138244627,1049384,0.0,0,-0.0011071112756544377,0.9836470181329242,,,,12.696564562547916,,,,13.915812492370604
2017-02-20,12.628538197991682,12.670400382054847,12.586676013928514,12.652957916259766,545354,0.0,0,0.004987446735261303,0.9885529052421608,,,,12.679123883148712,,,,14.079771995544434
2017-02-21,12.663423893129632,12.795989036560057,12.593652694967572,12.79598903656006,953453,0.0,0,0.011304164705747688,0.9997276701033635,,,,12.644238676483695,,,,14.0553560256958
