Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,retorno diario,retorno acumulado,banda_medio,banda_superior,banda_inferior,Conversion,Base,SpanA,SpanB,Lagging
2017-09-19,7.461480416780372,7.497475644938825,7.405293968807321,7.426363468170166,1251668,0.0,0,,,,,,,,,,6.585311412811279
2017-09-20,7.4175843793212595,7.463236493287973,7.39212432111758,7.41319465637207,605747,0.0,0,-0.001773251720648794,0.9982267482793512,,,,,,,,6.878538608551025
2017-09-21,7.392124121640585,7.47903862427943,7.348227730587285,7.458846569061279,780363,0.0,0,0.006158196945492023,1.0043740251915136,,,,,,,,6.716122150421143
2017-09-22,7.461479740097534,7.461479740097534,7.389490127563477,7.389490127563477,546556,0.0,0,-0.00929854781910755,0.9950348052900008,,,,,,,,7.0172505378723145
2017-09-25,7.341205317278611,7.417584657500029,7.318379259439217,7.391246318817139,831046,0.0,0,0.00023766068068908908,0.9952712859391353,,,,,,,,7.171764850616455
2017-09-26,7.352617315126595,7.414950038544174,7.342960427433028,7.368419647216797,690201,0.0,0,-0.0030883386394833234,0.9921975511700012,,,,,,,,7.130502223968506
2017-09-27,7.339448141190694,7.459723865184416,7.339448141190694,7.4377760887146,437935,0.0,0,0.009412661712881798,1.0015367710715142,,,,,,,,6.983889102935791
2017-09-28,7.421973993819195,7.462358104755165,7.310476874497906,7.315744876861572,1194682,0.0,0,-0.01640694885103977,0.9851046084961084,,,,,,,,7.01988410949707
2017-09-29,7.314866896801595,7.369298458099364,7.253412448403511,7.369298458099365,1399732,0.0,0,0.007320318318804864,0.9923158878076215,,,,7.375444046671168,,,,6.998814582824707
2017-10-02,7.330670075080533,7.357007576242852,7.242877288200717,7.286773681640625,1136708,0.0,0,-0.011198457618179392,0.9812034803941617,,,,7.360957956240073,,,,6.9566731452941895
2017-10-03,7.253411934320293,7.328035546623642,7.1928349324760905,7.284139156341553,1502004,0.0,0,-0.0003615489397880145,0.980848727316109,,,,7.335936778377761,,,,6.891706943511963
2017-10-04,7.252533676664543,7.281505177122231,6.768797614417453,6.882927894592285,3265567,0.0,0,-0.05508012040104615,0.9268234613203248,,,,7.115577859586309,,,,6.786355972290039
2017-10-05,6.864491244400128,6.925068247323884,6.764407991870847,6.900486469268799,3844224,0.0,0,0.0025510327792783727,0.9291878183507571,,,,7.113383048313006,,,,6.76177453994751
2017-10-06,6.875905122017596,6.911022490383608,6.784601303872566,6.803915500640869,2019855,0.0,0,-0.013994805881876182,0.9161840152051343,,,,7.113383048313006,,,,6.601992130279541
2017-10-09,6.847811054988535,6.992668559503979,6.823228858292723,6.981255531311035,2206989,0.0,0,0.026064408156371455,0.9400638093237841,,,,7.113383048313006,,,,6.693296432495117
2017-10-10,6.935603957581609,6.94789484757127,6.716122822332995,6.832886695861816,2138987,0.0,0,-0.021252457352947784,0.9200851433070807,,,,7.08924046354408,,,,6.656423568725586
2017-10-11,6.9979367182057794,7.075193920753299,6.908388206986862,6.999692440032959,4054598,0.0,0,0.024412192327463167,0.9425464387831346,,,,7.04271064021618,,,,6.892585277557373
2017-10-12,7.005837743128565,7.112944726330612,6.997936576439273,7.058513164520264,1668216,0.0,0,0.008403329859308473,0.9504669674159458,,,,7.0365651992879235,,,,6.882050037384033
2017-10-13,7.044466255968116,7.080460644313979,6.999692003153204,7.004081726074219,1477430,0.0,0,-0.0077114595067478975,0.9431374798842163,,,,7.022079184478319,,,,6.895219326019287
2017-10-16,6.985644658581348,7.0383204940045845,6.926823797423568,7.035686492919922,838856,0.0,0,0.004512335532586231,0.9473932326468116,7.182036948204041,7.6376250900079095,6.726448806400172,6.998813999727613,,,,6.874148368835449
2017-10-17,7.025151794630314,7.084850520591068,6.969842791685593,7.037442684173584,1684367,0.0,0,0.000249611925634996,0.9476297132959461,7.162590909004211,7.607775014342251,6.717406803666171,6.914533774331804,,,,6.863613605499268
2017-10-18,7.063779753933496,7.1041647008639925,7.005837171891443,7.04007625579834,1502184,0.0,0,0.00037422281685906,0.9479843379565951,7.143934988975525,7.5765067793357135,6.711363198615337,6.914533774331804,,,,6.9145331382751465
2017-10-19,7.006714980731355,7.006714980731355,6.831130258378432,6.874148368835449,1595858,0.0,0,-0.023569046830455798,0.9256412507007574,7.114700078964233,7.536988538754665,6.692411619173802,6.914533774331804,,,,6.904876232147217
2017-10-20,6.891707186253856,6.891707186253856,6.752995123059312,6.768797874450684,1095291,0.0,0,-0.0153256067125902,0.9114552369355675,7.083665466308593,7.511867722668476,6.655463209948711,6.914533774331804,,,,6.803915500640869
2017-10-23,6.741581737573453,6.772309377867195,6.673103570464425,6.7143659591674805,1255698,0.0,0,-0.008041592656897079,0.904125685195136,7.049821448326111,7.482455290860968,6.617187605791254,6.893024148397519,,,,6.782844543457031
2017-10-24,6.673103740116758,6.758262520760464,6.638864655691775,6.661690711975098,978391,0.0,0,-0.007845155821520677,0.8970326783125411,7.014485001564026,7.452729715021873,6.576240288106178,6.875904691011193,7.0681701503153,6.972037420663247,,6.800403118133545
2017-10-25,6.663446888553261,6.676615638441636,6.577410246603657,6.585311412811279,693741,0.0,0,-0.011465452610478932,0.8867477926492976,6.97186176776886,7.40282095249469,6.540902583043029,6.840787473733824,7.028224435441544,6.934505954587684,,6.968086242675781
2017-10-26,6.584433862534329,6.992668895972107,6.576532695954035,6.878538608551025,3783711,0.0,0,0.044527460792407325,0.9262324202192429,6.950001454353332,7.352051544287887,6.547951364418777,6.840348698409014,7.027785660116733,6.934067179262874,,7.023396015167236
2017-10-27,6.898730178804781,6.918922652215535,6.68100520578479,6.716122150421143,1750759,0.0,0,-0.02361205880679007,0.9043621658442706,6.917342638969421,7.281820235405731,6.552865042533111,6.840348698409014,7.0194454003546,6.9298970493818075,,7.099775314331055
2017-10-30,6.8785384739146895,7.0225181216984165,6.789868246991519,7.0172505378723145,2265263,0.0,0,0.044836645419304766,0.9449107316048647,6.903866481781006,7.230260467297203,6.577472496264809,6.840348698409014,7.0194454003546,6.9298970493818075,,7.286773681640625
2017-10-31,7.044466235296717,7.198103188065258,6.997936260900745,7.171764850616455,1581504,0.0,0,0.022019209932753858,0.9657169193717843,6.898247766494751,7.201032080688743,6.595463452300758,6.887317942009647,7.0194454003546,6.9533816711821235,,7.291162967681885
